categorie,texte,medicament1,medicament2,astuce,cat_base,texte_proc
aretin-tsaina,Tsy mety tsara ny saiko inona ny tokony hatao?,Alprazolam : 1x/andro (hariva) mandritra ny 15 andro,Mélatonine 5 mg : 1x/andro (hariva),Manaova fanatanjahan-tena maivana isan andro ary matoria tsara,aretin-tsaina,tsy mety tsara ny saiko inona ny tokony hatao saina kivy
kohaka,Mikohaka mando sy misy rano ny oronako hatramin'ny 9 ora,Ambroxol sirop : 3x/andro mandritra ny 5 andro,Vitamine C 500 mg : 1x/andro (maraina),Misotroa rano mafana misy tantely sy voasarimakirana ary sakamalao,kohaka,mikohaka mando sy misy rano ny oronako hatramin'ny ora kohaka
aretin-kibo,Manaintaina ny kiboko rehefa mihinana sakafo mamay be aho mandritra ny andro manontolo,Oméprazole 20 mg : 1x/andro (maraina) mandritra ny 6 herinandro,Antiacide : raha ilaina rehefa manaintaina,Aza mihinana sakafo mamay be na misy menaka betsaka,aretin-kibo,manaintaina ny kiboko rehefa mihinana sakafo mamay be aho mandritra ny andro manontolo marary mangirifiry fanaintainana kibo kibony tazo manavy mafana
areti-maso,Tsy mahita tsara aho efa 6 andro lasa izay,Gentamicine collyre : 3x/andro mandritra ny 5 andro,Larmes artificielles : 2x/andro (maraina-hariva) mandritra ny 15 andro,Aza mampifanojo ny maso amin ny jiro diso mazava loatra,areti-maso,tsy mahita tsara aho efa andro lasa izay
diabeta,Misy diabeta aho hatramin'ny maraina,Glibenclamide : 1x/andro (maraina) alohan ny sakafo,Acide folique : 1x/andro (maraina),Manao fanatanjahan-tena 30 minitra isan andro ary mivatsy vatomamy,diabeta,misy diabeta aho hatramin'ny maraina fiakaran ny siramamy fidinan ny siramamy
tazo,Voan ny tazo ary very hery aho nandritra ny 3 andro izay,Aspirine 500 mg : 2x/andro (maraina-hariva),Métoclopramide : 3x/andro raha misy alahelo,Miala sasatra tsara ary misotroa rano mafana,tazo,voan ny tazo ary very hery aho nandritra ny andro izay manavy mafana mamay
aretin-tsaina,Kivy be aho ary very hery,Hydroxyzine : 1x/andro (hariva) raha ilaina,Vitamine B12 : 1x/andro (maraina),Maka hazavana amin ny antoandro ary manao hetsika maivana,aretin-tsaina,kivy be aho ary very hery saiko saina
aretin-tenda,Sarotra ny mitelina noho ny tendako marary hatramin'ny 9 ora,Paracétamol 500 mg : 3x/andro (maraina-atoandro-hariva) mandritra ny 3 andro,Vitamine C 500 mg : 1x/andro,Misotroa rano mafana misy tantely sy voasarimakirana ary sakaviro,aretin-tenda,sarotra ny mitelina noho ny tendako marary hatramin'ny ora tenda tendany marary tenda manaintaina mangirifiry fanaintainana
fiakaran-ny-tosi-dra,Misy hypertension ary marary be ny lohako efa 6 andro lasa izay,Lisinopril 10 mg : 1x/andro (maraina),Aspirine 75 mg : 1x/andro (maraina),Aza mihinana sakafo misy graise be ary manaova dieta,fiakaran-ny-tosi-dra,misy hypertension ary marary be ny lohako efa andro lasa izay tsindry tosi-dra manaintaina mangirifiry fanaintainana loha lohany
aretin-tanana,Misy tendinite eo amin ny tanako mandritra ny 2 andro,Diclofénac 50 mg : 2x/andro (maraina-hariva),Ibuprofène gel : mametraka eo amin ny toerana marary,Mitsahara tsara ary mampiasa gel fanasitranan-drano,aretin-tanana,misy tendinite eo amin ny tanako mandritra ny andro
diabeta,Misy diabeta ary marary be ny masoko hatramin ny omaly,Glibenclamide : 1x/andro (maraina) alohan ny sakafo,Acide folique : 1x/andro (maraina),Mihinana sakafo manankarena fibre ary aza mihinana siramamy be,diabeta,misy diabeta ary marary be ny masoko hatramin ny omaly fiakaran ny siramamy fidinan ny siramamy manaintaina mangirifiry fanaintainana maso masony
aretin-tenda,Manaintaina ny tendako ary mikohaka aho hatramin'ny maraina,Paracétamol 1000 mg : 2x/andro (maraina-hariva),Pastilles pour gorge : matetika isan andro,Aza mivoaka amin ny hatsiaka ary misotroa rano mafana,aretin-tenda,manaintaina ny tendako ary mikohaka aho hatramin'ny maraina marary mangirifiry fanaintainana tenda tendany marary tenda kohaka
fiakaran-ny-tosi-dra,Misy hypertension be aho mandritra ny andro manontolo,Lisinopril 10 mg : 1x/andro (maraina),Hydrochlorothiazide 12.5 mg : 1x/andro (maraina),Manao fitiliana ny tosi-dra isan andro ary mihinana sakafo tsara,fiakaran-ny-tosi-dra,misy hypertension be aho mandritra ny andro manontolo tsindry tosi-dra
fiakaran-ny-tosi-dra,Ambony be tosi-drako mandritra ny andro manontolo,Ramipril 5 mg : 1x/andro (maraina) tsy tapaka,Hydrochlorothiazide 12.5 mg : 1x/andro (maraina),Manao fitiliana ny tosi-dra isan andro ary mihinana sakafo tsara,fiakaran-ny-tosi-dra,ambony be tosi-drako tosi drako mandritra ny andro manontolo
aretin-kibo,Mandrevo be aho ary marary ny kiboko hatramin'ny alina,Oméprazole 40 mg : 1x/andro (maraina) mandritra ny 4 herinandro,Smecta : 3x/andro raha misy alahelo,Mihinana matetika sakafo kely ary aza mihinana be indray mandeha,aretin-kibo,mandrevo be aho ary marary ny kiboko hatramin'ny alina mivalanana mivalan-tay manaintaina mangirifiry fanaintainana kibo kibony
aretin-tanana,Manaintaina ny rantsan-tanako mandritra ny andro manontolo,Naproxène 500 mg : 2x/andro mandritra ny 5 andro,Paracétamol 500 mg : raha ilaina,Mitsahara tsara ary mampiasa gel fanasitranan-drano,aretin-tanana,manaintaina ny rantsan-tanako rantsan tanako mandritra ny andro manontolo marary mangirifiry fanaintainana
aretim-po,Inona no atao raha foko mafy ary misy douleur efa 6 andro lasa izay?,Ramipril 5 mg : 1x/andro (maraina) tsy tapaka,Spironolactone 25 mg : 1x/andro,Mila mampihena ny stress ary aza miasa be loatra,aretim-po,inona no atao raha foko mafy ary misy douleur efa andro lasa izay fo
aretim-po,Foko mafy ary misy vertiges hatramin'ny 9 ora,Atorvastatine 10 mg : 1x/andro (hariva),Amlodipine 5 mg : 1x/andro (maraina),Aza mihinana sakafo misy graise be ary manaova dieta,aretim-po,foko mafy ary misy vertiges hatramin'ny ora fo
aretin-tratra,Misy tsindry eo amin ny tratrako efa 6 andro lasa izay,Prednisolone 20 mg : 1x/andro (maraina) mandritra ny 5 andro,Paracétamol 500 mg : 3x/andro mandritra ny 3 andro,Aza mivoaka amin ny hatsiaka ary matoria amin ny toerana mafana,aretin-tratra,misy tsindry eo amin ny tratrako efa andro lasa izay tosi-dra hypertension tratra
aretin-tanana,Tanana marary ary reraka hatramin'ny herinandro,Kétoprofène gel : mametraka 3x/andro,Myorelaxant : 1x/andro (hariva),Aza miasa be loatra ary mitsahara matetika,aretin-tanana,tanana marary ary reraka hatramin'ny herinandro tananako ankihibe ratsan-tanana manaintaina mangirifiry fanaintainana
kohaka,Nikohaka foana aho nandritra ny herinandro izay hatramin'ny maraina,Paracétamol 500 mg : 3x/andro mandritra ny 3 andro,Vitamine C 500 mg : 1x/andro (maraina),Aza mivoaka amin ny hatsiaka ary misotroa rano mafana,kohaka,nikohaka foana aho nandritra ny herinandro izay hatramin'ny maraina
kohaka,Mikohaka mando ary misy siflema aho,Bromhexine sirop : 3x/andro mandritra ny 7 andro,ORS : misotroa betsaka,Matoria amin ny toerana mafana ary misotroa rano betsaka,kohaka,mikohaka mando ary misy siflema aho kohaka
diabeta,Inona no atao raha misy diabeta ary reraka be aho mandritra ny 2 andro?,Glibenclamide : 1x/andro (maraina) alohan ny sakafo,Vitamine B12 : 1x/andro (maraina),Aza mihinana sakafo misy siramamy be ary mihinana akondro kely,diabeta,inona no atao raha misy diabeta ary reraka be aho mandritra ny andro fiakaran ny siramamy fidinan ny siramamy
aretim-po,Mitebiteby ny foko ary very hery hatramin ny omaly,Atorvastatine 10 mg : 1x/andro (hariva),Furosémide 40 mg : 1x/andro (maraina),Manao fitiliana ny foko matetika,aretim-po,mitebiteby ny foko ary very hery hatramin ny omaly fo
aretin-tanana,Mivonto ny tanako hatramin'ny herinandro misy fanafody ve?,Kétoprofène gel : mametraka 3x/andro,Vitamines B : 1x/andro (maraina),Mitsahara ary aza mampiasa ny tanana ela loatra,aretin-tanana,mivonto ny tanako hatramin'ny herinandro misy fanafody ve
aretim-po,Mitebiteby ny foko ary very hery misy fanafody ve?,Ramipril 5 mg : 1x/andro (maraina) tsy tapaka,Spironolactone 25 mg : 1x/andro,Mandehana any amin ny dokotera haingana ary mitsahara tsara,aretim-po,mitebiteby ny foko ary very hery misy fanafody ve fo
areti-maso,Manaintaina ny masoko efa 6 andro lasa izay,Collyre antibiotique : 4x/andro (maraina-atoandro-hariva-alina) mandritra ny 7 andro,Larmes artificielles : 2x/andro (maraina-hariva) mandritra ny 15 andro,Sasao ny maso amin ny rano madio ary aza mikasika zavatra maloto be loatra,areti-maso,manaintaina ny masoko efa andro lasa izay marary mangirifiry fanaintainana maso masony
tazo,Voan'ny tazo aho nandritra ny 2 andro mandritra ny 2 andro,Aspirine 500 mg : 2x/andro (maraina-hariva),Paracétamol 500 mg : raha ilaina,Misotroa rano betsaka ary asio lamba mando eo amin ny handrina,tazo,voan'ny tazo aho nandritra ny andro mandritra ny andro manavy mafana mamay
aretin-kibo,Marary ny kiboko ary misy nausée be hatramin'ny 9 ora misy fanafody ve?,Mébévérine : 2x/andro (maraina-hariva) mandritra ny 2 volana,Smecta : 3x/andro raha misy alahelo,Aza mihinana sakafo misy asidra be ary misotroa rano mafana,aretin-kibo,marary ny kiboko ary misy nausee be hatramin'ny ora misy fanafody ve manaintaina mangirifiry fanaintainana kibo kibony
tazo,Misy tazo ary reraka be aho hatramin ny omaly misy fanafody ve?,Aspirine 500 mg : 2x/andro (maraina-hariva),ORS : misotroa betsaka rehefa mangovitra,Asio lamba mando eo amin ny handrina ary misotroa rano,tazo,misy tazo ary reraka be aho hatramin ny omaly misy fanafody ve manavy mafana mamay
aretin-doha,Marary be ny lohako mandritra ny andro manontolo mba hanampy,Aspirine 500 mg : 2x/andro mandritra ny 3 andro,Métoclopramide : 3x/andro raha misy alahelo,Manaova fanatanjahan-tena maivana ary misotroa rano betsaka,aretin-doha,marary be ny lohako mandritra ny andro manontolo mba hanampy manaintaina mangirifiry fanaintainana loha lohany
aretin-pivalanana,Mandrevo aho hatramin ny omaly,Smecta : 3 sachets isan andro mandritra ny 3 andro,Charbon activé : 2 comprimés 3x/andro,Aza mihinana voankazo manta,aretin-pivalanana,mandrevo aho hatramin ny omaly mivalanana mivalan-tay
aretin-tratra,Sarotra amiko ny miaina hatramin'ny alina,Amoxicilline 500 mg : 3x/andro mandritra ny 7 andro,Vitamine C 500 mg : 1x/andro,Aza mivoaka amin ny hatsiaka ary matoria amin ny toerana mafana,aretin-tratra,sarotra amiko ny miaina hatramin'ny alina
aretin-tenda,Misy pharyngite mafy aho mandritra ny andro manontolo,Benzidamine spray : 3x/andro amin ny tendako,Ibuprofène 400 mg : 2x/andro (maraina-hariva),Aza mivoaka amin ny hatsiaka ary misotroa rano mafana,aretin-tenda,misy pharyngite mafy aho mandritra ny andro manontolo
fiakaran-ny-tosi-dra,Misy pression artérielle be aho hatramin ny omaly,Ramipril 5 mg : 1x/andro (maraina) tsy tapaka,Spironolactone 25 mg : 1x/andro (maraina),Aza mihinana sakafo misy graise be ary manaova dieta,fiakaran-ny-tosi-dra,misy pression arterielle be aho hatramin ny omaly
tazomoka,Voan ny tazo sy mivalana aho efa 6 andro lasa izay,Artéméther injection : araka ny dokotera,Paracétamol 1000 mg : isaky ny 6 ora raha tazo avo,Matoria ao anatin ny mostikera ary mampiasa repulsif,tazomoka,voan ny tazo sy mivalana aho efa andro lasa izay manavy mafana mamay
diabeta,Misy diabeta ary mivonto ny tongotro sy ny tanako hatramin ny omaly,Insuline : araka ny torohevitry ny dokotera,Vitamine B12 : 1x/andro (maraina),Manao fitiliana ny siramamy ao amin ny ra matetika ary mila manao kajy tsara rehefa mihinana sakafo,diabeta,misy diabeta ary mivonto ny tongotro sy ny tanako hatramin ny omaly fiakaran ny siramamy fidinan ny siramamy tongotra lohalika ratsan-tongotra
aretin-pivalanana,Mandrevo be ary misy fanaintainana kiboko misy fanafody ve?,ORS : misotroa isaky ny mandrevo,Probiotiques : 1x/andro mandritra ny 7 andro,Mihinana sakafo malefaka ary aza mihinana sakafo mafana be na mangatsiaka be loatra,aretin-pivalanana,mandrevo be ary misy fanaintainana kiboko misy fanafody ve mivalanana mivalan-tay marary manaintaina mangirifiry kibo kibony
aretin-tongotra,Misy fanaintainana be ny tongotrako mafy mandritra ny 2 andro,Naproxène 500 mg : 2x/andro (maraina-hariva),Gel anti-inflammatoire (Voltaren) : mametraka eo amin ny toerana marary 2x/andro,Mitsahara tsara ary mampiasa gel fanasitranan-drano,aretin-tongotra,misy fanaintainana be ny tongotrako mafy mandritra ny andro marary manaintaina mangirifiry
aretin-doha,Mangorangoraka ny lohako ary manefotefo mafy mandritra ny andro manontolo,Sumatriptan : 1x/andro raha ilaina,Caféine 100mg : 1x/andro (maraina),Aza mijery solosaina na finday ela loatra,aretin-doha,mangorangoraka ny lohako ary manefotefo mafy mandritra ny andro manontolo loha lohany
aretin-kibo,Misy ulcère ny kiboko,Ranitidine 150 mg : 2x/andro (maraina-hariva),Smecta : 3x/andro raha misy alahelo,Mihinana sakafo malefaka sy mora an-tsaina ary misotroa rano betsaka,aretin-kibo,misy ulcere ny kiboko kibo kibony
aretin-tenda,Manaintaina ny tendako ary misy tazo kely ny vatako efa 6 andro lasa izay,Paracétamol 500 mg : 3x/andro (maraina-atoandro-hariva) mandritra ny 3 andro,Vitamine C 500 mg : 1x/andro,Aza mivoaka amin ny hatsiaka ary misotroa rano mafana,aretin-tenda,manaintaina ny tendako ary misy tazo kely ny vatako efa andro lasa izay marary mangirifiry fanaintainana tenda tendany marary tenda manavy mafana mamay
aretin-tratra,Misy aretin-tratra ary kohaka tsy mitsahatra aho hatramin'ny alina,Amoxicilline 500 mg : 3x/andro mandritra ny 7 andro,Vitamine C 500 mg : 1x/andro,Misotroa rano betsaka ary aza mihinana ranomandry,aretin-tratra,misy aretin-tratra aretin tratra ary kohaka tsy mitsahatra aho hatramin'ny alina tratrako mikohaka
aretin-doha,Misy faintanana eo amin ny lohako hatramin ny omaly,Paracétamol 500 mg : 3x/andro (maraina-atoandro-hariva) mandritra ny 3 andro,Paracétamol 500 mg : 3x/andro raha ilaina,Mila miala sasatra tsara ary aza mihinana sakafo mafana be,aretin-doha,misy faintanana eo amin ny lohako hatramin ny omaly loha lohany
aretin-tenda,Manaintaina ny tendako ary mikohaka aho,Benzidamine spray : 3x/andro amin ny tendako,Vitamine C 500 mg : 1x/andro,Misotroa rano mafana ary matoria amin ny toerana mafana,aretin-tenda,manaintaina ny tendako ary mikohaka aho marary mangirifiry fanaintainana tenda tendany marary tenda kohaka
aretin-urinaire,Misy odeur mauvaise amin ny pipi mandritra ny 2 andro,Fosfomycine 3g : 1 sachet unique,ORS : misotroa betsaka,Misotroa rano betsaka 2-3L isan andro,aretin-urinaire,misy odeur mauvaise amin ny pipi mandritra ny andro mamany mipipi
aretin-pivalanana,Mandrevo matetika aho ary reraka mandritra ny andro manontolo,Racécadotril 100 mg : 3x/andro mandritra ny 5 andro,Probiotiques : 1x/andro mandritra ny 7 andro,Misotroa ORS isan-mandrevo ary manaova mafana tsara,aretin-pivalanana,mandrevo matetika aho ary reraka mandritra ny andro manontolo mivalanana mivalan-tay
aretim-po,Inona no atao raha foko mafy ary mitebiteby hatramin ny omaly mba hanampy?,Aténolol 50 mg : 1x/andro (maraina) tsy tapaka,Spironolactone 25 mg : 1x/andro,Manao fitiliana ny foko matetika,aretim-po,inona no atao raha foko mafy ary mitebiteby hatramin ny omaly mba hanampy fo
aretin-tratra,Misy tsindry eo amin ny tratrako mandritra ny andro manontolo,Amoxicilline 500 mg : 3x/andro mandritra ny 7 andro,Paracétamol 500 mg : 3x/andro mandritra ny 3 andro,Miala sasatra tsara ary misotroa rano mafana misy tantely,aretin-tratra,misy tsindry eo amin ny tratrako mandritra ny andro manontolo tosi-dra hypertension tratra
kohaka,Kohaka mafy ary misy rano ny oronako hatramin ny omaly,Dextromethorphan sirop : 2x/andro (maraina-hariva),ORS : misotroa betsaka,Aza mihinana ranomandry ary misotroa rano mafana foana,kohaka,kohaka mafy ary misy rano ny oronako hatramin ny omaly mikohaka
aretin-tratra,Sarotra amiko ny miaina mandritra ny andro manontolo,Azithromycine 500 mg : 1x/andro mandritra ny 3 andro,Bromhexine sirop : 3x/andro mandritra ny 7 andro,Miala sasatra tsara ary misotroa rano mafana misy tantely,aretin-tratra,sarotra amiko ny miaina mandritra ny andro manontolo
aretin-tsaina,Mitebiteby aho ary mangorakoraka ny foko,Sertraline : 1x/andro (maraina) mandritra ny 3 volana,Mélatonine 5 mg : 1x/andro (hariva),Ahenao ny fampiasana solosaina sy finday amin ny alina,aretin-tsaina,mitebiteby aho ary mangorakoraka ny foko fo
aretin-doha,Mangorakoraka ny lohako ary tsy mahita tory aho mandritra ny andro manontolo ahoana ny fitsaboana?,Paracétamol 500 mg : 3x/andro (maraina-atoandro-hariva) mandritra ny 3 andro,Métoclopramide : 3x/andro raha misy alahelo,Manaova fanatanjahan-tena maivana ary misotroa rano betsaka,aretin-doha,mangorakoraka ny lohako ary tsy mahita tory aho mandritra ny andro manontolo ahoana ny fitsaboana loha lohany
tazomoka,Voan ny tazomoka ary aùbony be ny degre ny mari panako ary reraka mafy aho hatramin'ny alina,Artésunate 200 mg : 1x/andro mandritra ny 3 andro,Paracétamol 1000 mg : isaky ny 6 ora raha tazo avo,Mampiasa ody mokaMisotroa rano betsaka ary matoria amin ny toerana mafana,tazomoka,voan ny tazomoka ary aubony be ny degre ny mari panako ary reraka mafy aho hatramin'ny alina tazo avy amin ny kaikitry ny moka
aretin-tsaina,Misy insomnie mafy aho hatramin'ny 9 ora,Hydroxyzine : 1x/andro (hariva) raha ilaina,Mélatonine 5 mg : 1x/andro (hariva),Manaova fanatanjahan-tena maivana isan andro ary matoria tsara,aretin-tsaina,misy insomnie mafy aho hatramin'ny ora
areti-maso,Tsy mahita tsara aho hatramin ny omaly ahoana ny fitsaboana?,Collyre antibiotique : 4x/andro (maraina-atoandro-hariva-alina) mandritra ny 7 andro,Vitamine A : 1x/andro mandritra ny 1 volana,Aza mampifanojo ny maso amin ny jiro diso mazava loatra,areti-maso,tsy mahita tsara aho hatramin ny omaly ahoana ny fitsaboana
aretin-doha,Migraine no manenjika ahy hatramin'ny omaly hatramin'ny herinandro,Paracétamol 1000 mg : 2x/andro (maraina-hariva),Ibuprofène 400 mg : 2x/andro (maraina-hariva) mandritra ny 3 andro,Aza mijery solosaina na finday ela loatra,aretin-doha,migraine no manenjika ahy hatramin'ny omaly hatramin'ny herinandro
fiakaran-ny-tosi-dra,Misy hypertension ary mitebiteby be aho efa 6 andro lasa izay,Lisinopril 10 mg : 1x/andro (maraina),Furosémide 40 mg : 1x/andro (maraina),Aza mihinana anamamy sy hen omby be loatra,fiakaran-ny-tosi-dra,misy hypertension ary mitebiteby be aho efa andro lasa izay tsindry tosi-dra
diabeta,Mitebiteby sy reraka lava aho hatramin'ny maraina,Metformine 1000 mg : 2x/andro (maraina-hariva),Aspirine 75 mg : 1x/andro (maraina),Manao fanatanjahan-tena 30 minitra isan andro ary mivatsy vatomamy,diabeta,mitebiteby sy reraka lava aho hatramin'ny maraina
aretin-tenda,Misy infection ao amin ny tendako,Paracétamol 1000 mg : 2x/andro (maraina-hariva),Ibuprofène 400 mg : 2x/andro (maraina-hariva),Aza mihinana ranomandry ary misotroa rano mafana foana,aretin-tenda,misy infection ao amin ny tendako tenda tendany marary tenda
aretin-kibo,Marary ny kiboko ary very hery be aho,Pantoprazole 40 mg : 1x/andro (maraina) mandritra ny 4 herinandro,Dompéridone : 3x/andro alohan ny sakafo,Mihinana matetika sakafo kely ary aza mihinana be indray mandeha,aretin-kibo,marary ny kiboko ary very hery be aho manaintaina mangirifiry fanaintainana kibo kibony
tazomoka,Misy tazomoka ary manaintaina ny vatako efa 6 andro lasa izay,Artésunate 200 mg : 1x/andro mandritra ny 3 andro,ORS : misotroa betsaka rehefa mangovitra,Aza mivoaka amin ny alina ary mampiasa spray anti-moustique,tazomoka,misy tazomoka ary manaintaina ny vatako efa andro lasa izay tazo avy amin ny kaikitry ny moka marary mangirifiry fanaintainana
